,id,time,title,content,info,available
30,304,2018-06-01,《战地4》中文版,感谢perry83920分享！！原文：战地4中文版 没密码...自行用Winrar和7Zip解压没问题.解压后直接PKG文件.希望大家喜欢!您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1lSs6u6n-hp4sd65b_DDhLQ  密码：FL5P󰄼 赞 73 赏󰄯 分享,射击类,True
31,303,2018-06-01,《​真三国无双7帝国》中文版,简体中文，带1.01补丁您已评论，请查看如下隐藏内容哦！链接:https://pan.baidu.com/s/1NYQocKLn91SsMY6OOzKwYw  密码:t5xu 解压密码a7254感谢a7254的分享！！󰄼 赞 9 赏󰄯 分享,角色扮演,True
32,302,2018-05-31,[5.05]《光明之响 龙奏回音》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1NtLS1notrQoQKQxat-j6nA  密码：siip感谢本站热心朋友肥肥的喵辛苦DUMP和上传。转载请注明来源：www.ksohu.com，谢谢。英文名称：Shining Resonance Re:frain / Shining Resonance Refrain游戏原名：シャイニング レゾナンス リフレイン游戏语言：中文(非国行)开发厂商：Sega发行厂商：Sega发售日期：2018-03-29在2014年发售并博得好评的幻想RPG《光明之响》将登陆PS4！全高清、60fps的华丽画面将带来更棒的游戏体验。同时，本作还将收录原版中多达150种以上的DLC内容，其中包含角色的EX事件、追加迷宫、服装等。这就是可体验到所有内容的决定盘《光明之响 龙奏回音》。󰄼 赞 33 赏󰄯 分享,角色扮演,True
33,301,2018-05-31,[5.05]《V！勇者别嚣张R》繁体中文版（VR）,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1nAbzCdDkiO2R_U7GgCNgDQ  密码：tbbq含1.01补丁。感谢本站热心朋友肥肥的喵辛苦DUMP和上传。转载请注明来源：www.ksohu.com，谢谢。 英文名称：V! Yuusha no Kuse ni Namaikida R / No Heroes Allowed! VR游戏原名：V！ 勇者のくせになまいきだ R（ぶい！ ゆうしゃのくせになまいきだ りたーん）游戏语言：英文开发厂商：Acquire发行厂商：SIE发售日期：2017-10-17游戏类型：策略类本作预计将于17年年内发售，将是PS VR的独占作品。󰄼 赞 13 赏󰄯 分享,其他类型,True
34,300,2018-05-31,《镜之边缘 催化剂》中文版,Dump BY gz死神bleach，非常感谢分享解压密码：gz死神bleach链接：https://pan.baidu.com/s/1_G4iEytwZ7wlc8h1VjzItg  密码：uwbq,动作类,True
35,299,2018-05-31,《极品飞车20》中文版（密码待确认）,极品飞车20中文版链接：https://pan.baidu.com/s/1tXpu57Kw2CJRkZ0m5lWn9Q密码：orzj  解压密码：皮皮虾不走了感谢分享！密码不对？待确认！,体育竞速,True
36,298,2018-05-31,[5.05]《隐龙传：影踪》国行简体中文,链接：https://pan.baidu.com/s/11IQjjHoxStuWAai767W68g  密码：ievqDump by 我去年买了个表哈，感谢,动作类,True
37,297,2018-05-31,[5.05]《龙之信条 黑暗再临》港版 中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1zuZ_ujrLfZ6R_iYGlvfBJg  密码：f26q解压密码 gz死神bleachDUMP By gz死神bleach，感谢分享！󰄼 赞 34 赏󰄯 分享,角色扮演,True
38,296,2018-05-31,[4.55]《信长野望创造战国立志传》港版 中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1Y3omMMwXuQvTIwHcyWAfxA  密码：lo4d解压密码：gz死神bleach安装完进游戏提示系统存档出错，选不修复跳过，即可正常游戏。DUMP By gz死神bleach，感谢分享！󰄼 赞 14 赏󰄯 分享,其他类型,True
39,295,2018-05-31,[5.05]《最终幻想 纷争》中文版（已发布）,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1J2azTHFJbQ0G6uF7s909wA 密码: 644u预告：光明之響 汪達巨像 駭客記憶（刚发完纷争的预告，就发布游戏了，有点小任性……）感谢肥肥的喵辛苦DUMP和上传。。（当然，还在DUMP和UPLOADing）转载请注明来源：谢谢。󰄼 赞 50 赏󰄯 分享,格斗类,True
40,294,2018-05-31,[5.05]《恶灵附身2》中文版,您已评论，请查看如下隐藏内容哦！https://pan.baidu.com/s/1g8_F77ZdKf70QbQD8rr9PA  密码：nl85解压密码:speedfly英文名称：The Evil Within 2 / Psycho Break 2游戏原名：サイコブレイク2游戏语言：中文(非国行)开发厂商：Tango Gameworks发行厂商：Bethesda Softworks发售日期：2017-10-13《恶灵附身2》是由日本知名游戏制作人三上真司、以及由他所带领的TangoGameworks工作室所制作的一款恐怖生存游戏。感谢热心网友留言，请原作者联系我改来源。󰄼 赞 64 赏󰄯 分享,动作类,True
41,293,2018-05-31,[5.05]《菲莉丝的工作室 不思议之旅的炼金术士》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1zI9FIbqhSbGdRiU8czkDAw  密码：p0j2本站热心网友肥肥的喵提供。感谢。转账请注明来源，谢谢。󰄼 赞 18 赏󰄯 分享,角色扮演,True
42,292,2018-05-31,[5.05]《刺客信条 起源》港中 ,解压密码：gz死神bleach您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1bThGyNOg_8MhX9Nr3XB3dg  密码：n0guDUMP BY gz死神bleach，感谢分享。󰄼 赞 70 赏󰄯 分享,动作类,True
43,291,2018-05-31,《蓝色映像 幻舞少女之剑》港版 繁体中文（双DUMP）,蓝色映像 幻舞少女之剑 港版繁体中文带1.01升级补丁您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/16dokR0x7AVORx371aFAQnw  密码：lq2rDumper 老玩家75，感谢您已评论，请查看如下隐藏内容哦！本站热心网友肥肥的喵DUMP版：链接: https://pan.baidu.com/s/1v9cmsgngOnj-7Vr0ZJjpVQ  密码: sxut（单PKG下载）󰄼 赞 15 赏󰄯 分享,角色扮演,True
44,290,2018-05-31,《街头霸王30周年》中文版,您已评论，请查看如下隐藏内容哦！ https://pan.baidu.com/s/1mn1rBV6fHRQOcdhKbTTiiA备用链接：https://pan.baidu.com/s/1W6KgXxgpgrb49BFxWRuiJg  密码：3118热心网友提供，请原作者联系下修改。󰄼 赞 59 赏󰄯 分享,格斗类,False
45,289,2018-05-31,[5.05]《真三国无双8》港版 中文版 v1.04,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1Q4qHDj53pS7FVgTXNEzRXQ  密码：N6X1密码见网盘来源：热心网友提供。原作者架空人格。󰄼 赞 159 赏󰄯 分享,动作类,True
46,288,2018-05-30,《神秘海域：失落的遗产》中文版 v1.08,您已评论，请查看如下隐藏内容哦！找了半天找到了神秘海域：失落的遗产了，之前链接挂了。盘https://pan.baidu.com/s/1Ts4dE8uZVN_gLif5U5bcew  密码nedo链接: https://pan.baidu.com/s/1fUR4r1Ltkoy0uA_qcASC2w 密码: pr7t解压缩密码:TheLastOfUs感谢作者eric，请原作者看到后联系下，修改来源。，请作者联系下。󰄼 赞 147 赏󰄯 分享,射击类,True
47,287,2018-05-30,[5.05]《圣剑传说2》中文版,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1qyPnON3Gc270OpJjnMHqWw  密码: gnef本站热心网友肥肥的喵提供。感谢。转账请注明来源，谢谢。󰄼 赞 51 赏󰄯 分享,角色扮演,True
48,286,2018-05-30,[5.05]《孤岛惊魂5》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1dgHfIfMtN9EstmkKmc3MRg 密码：e8au作者&解压密码：gz死神bleach英文名称：Far Cry 5游戏语言：中文(非国行)开发厂商：Ubisoft发行厂商：Ubisoft发售日期：2018-03-27《孤岛惊魂5》是一款第一人称射击游戏。《孤岛惊魂5》的可选元素十分新奇，包括“爬满恐龙的侏罗纪小岛”、“科幻风格的星球”、“1960年的越南”、“充满僵尸的死亡岛”、“造访吸血鬼”等等有趣的选项。󰄼 赞 91 赏󰄯 分享,射击类,True
49,285,2018-05-30,[5.05]《实况足球2018 》中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1Ct-xxTSsUY6pApxoxShs0Q 密码：63hu英文名称：Pro Evolution Soccer 2018 / World Soccer Winning Eleven 2018游戏原名：ウイニングイレブン 2018游戏语言：中文(非国行)开发厂商：Konami发行厂商：Konami发售日期：2017-09-14采用FOX引擎打造，主打“真实控球”机制，增强画面，全面采用扫描建模，包括球员、光照、球场、观众、体育场，增加大量角色动画，根据用户操控改变作战的动态AI系统。来源于多玩转存，请原作者看到后联系我更改来源！来源：billy5208，感谢分享󰄼 赞 69 赏󰄯 分享,体育竞速,True
50,283,2018-05-30,[5.05]《人中北斗》港版 繁体中文版（已修正）,手机发的，地址多删了，感谢提醒！！您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1crcb-BITS-NdA6VJhdZVPQ 密码：8502解压密码：如龙塞高经测试，密码无误！来源：热心网友提供如果你是作者请邮箱联系我更正。󰄼 赞 150 赏󰄯 分享,动作类,True
51,282,2018-05-30,[5.05]《FIFA18》中文版（6月3日修复了）,昨天就从多玩存了，然后因为5天禁转，也就没发，今天作者从贴吧给我留言了，然后这个资源又重见天日了。对了，无世界杯。您已评论，请查看如下隐藏内容哦！FIFA 2018 完整版，有的分享链接里面的压缩包不完整，重新分享一下：链接: https://pan.baidu.com/s/11FSYg4gUPpSSsHX_WPJzsw  密码: kq57󰄼 赞 72 赏󰄯 分享,体育竞速,True
52,280,2018-05-30,[5.05]《勇者斗恶龙11 追寻逝去的时光》中文版（2个DUMP）,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1bngduU-G146wU0HbHx78Ow 密码: x9x5解压密码：一夜倾城哈哈本站热心网友肥肥的喵提供您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/18mGRua-VGPTwTcNP76f1VA 密码: veft英文名称：Dragon Quest XI - Sugi Sarishi Toki o Motomete游戏原名：ドラゴンクエストXI 過ぎ去りし時を求めて游戏语言：中文(非国行)开发厂商：Square Enix发行厂商：Square Enix发售日期：2017-11-11SE在7月28日的DQ新作发布会上正式公开了《勇者斗恶龙11》，本作将登陆PS4和3DS平台，此外还确认会登陆任天堂的新机种NX。《勇者斗恶龙11》并非网游作品，但会增强网络联机要素。本作目前公开的2个版本的核心开发成员是相同的，PS4版的制作人是冈本北斗，3DS版的制作人则是横田贤人。PS4版采用虚幻4引擎制作，支持跳跃动作，怪物可见，视角也能360度旋转；3DS版则是上屏3D画面，由遥感控制移动选择，下屏幕为怀旧2D画面，由十字剑控制移动选择。来源：热心网友提供󰄼 赞 181 赏󰄯 分享,角色扮演,True
53,279,2018-05-30,[5.05]《初音未来 歌姬计划 未来音符DX》中文版（加入1.01补丁）,《初音未来 歌姬计划 未来音符DX 1.0 》港版繁中 本體https://pan.baidu.com/s/1qfMofNLiZg-9WrrKdEGNVg  密码: xnpm《初音未来 歌姬计划 未来音符DX 1.01 》港版繁中更新補丁修正Dump板 歌曲完整238 songs链接: https://pan.baidu.com/s/1pI7Pa,其他类型,True
54,278,2018-05-30,[5.05]《莉迪与瑟尔的工作室 不可思议绘画的炼金术士》中文版,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/10qVlLDs25bgtSuh-8XOvIw 密码: xfz5MD5：c72ea504fa07aca74845cee1b1ddeb9b英文名称：Atelier Lydie & Suelle - The Alchemists and the Mysterious Paintings游戏原名：リディー＆スールのアトリエ 不思議な絵画の錬金術士游戏语言：中文(非国行)开发厂商：Gust发行厂商：Koei Tecmo莉迪与瑟尔的工作室 不可思议绘画的炼金术士本作中的两位主角是一对姐妹，她们在帮父亲经营一家经营不善的工作室，但在一个偶然的机会里两人进入了绘画里的世界，于是两人一边磨炼自己的炼金技术，一边为了让自家的工作室成为全国最棒而努力。主角家的工作室位于阿达雷特王国的首都梅尔威尤，那是一家小小的店铺。两姐妹从小和父亲住在这里，并梦想着“有朝一日，让店铺成为全国第一”。但事与愿违，姐妹两都还不成熟，而且梦想与现实呈现相反的情景，每日惨淡经营。有一天，两人发现了一幅画，画中有一个像梦一样的世界，里边的各种材料堆积如山。于是，两姐妹随着与画的相遇，开始追逐起自己的梦想。来源：多玩热心网友肥肥的喵󰄼 赞 58 赏󰄯 分享,动作类,True
55,277,2018-05-29,[4.55]《魔女与百骑兵2》中文版,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1K6aR9YVOHZDelauz-FeHPw 密码: y75dMD5：70569d308f24fd2248ea1be8a2210dfa解压密码见网盘文件夹名英文名称：Majo to Hyakkihei 2 / The Witch and the Hundred Knight 2游戏原名：魔女と百騎兵2游戏语言：中文(非国行)开发厂商：日本一（NIS）发行厂商：日本一（NIS）发售日期：2017-05-25《魔女与百骑兵》系列新作，继承前作在动作方面的爽快感。前作主角梅塔莉卡的故事已经落幕，本作魔女丘露卡和新的百骑兵的故事正式开幕。只有少女才会染上的不治之症——「魔女病'」，其额头上的第三只眼一旦完全觉醒，少女就会成为依存放肆欲望而不断破坏的「魔女」。在魔女病而荒废的幻想世界『凯瓦拉』，人们过着随时要提防魔女的胆怯生活。某处村庄里有一对姊妹——雅玛莉耶和米露姆，相依为命地生活着。 不料从森林里独自回来的米露姆，她的额头出现魔女病的征兆，物语由此展开……感谢本站网友提供！javascript:;赏󰄯 分享,角色扮演,True
56,276,2018-05-29,[5.05]《龙珠 战士Z》港版中文版（和欧版 英语版）,您已评论，请查看如下隐藏内容哦！转自极模论坛：分享者：黑夜七龍珠FighterZ 港版 自dump链接：https://pan.baidu.com/s/1VVWVX947ZPtTg9Xfihyngw  密码：h4fj转载请注明出处欧版：链接: https://pan.baidu.com/s/1tBAjtcVeOVdrH6RyYjcEXA 密码: e547MD5：2f0bc6f60786c754efb2546fd0dce2e7，3654cb08a457bf9e6066bdcefd97d834英文名称：Dragon Ball FighterZ游戏语言：欧洲语言开发厂商：Arc System Works发行厂商：BNEI发售日期：2018-01-26《龙珠 战士Z》由万代南梦宫授权《罪恶装备》开发商Arc System Works打造，是一款经典风格的横版2D格斗游戏新作。与《罪恶装备》系列类似，《龙珠 战士Z》主打3V3格斗。感谢本站网友提供！󰄼 赞 145 赏󰄯 分享,格斗类,True
